Site,lat,long
Wolfgang K̦hler Primate Research Center,51.348537,12.371651400000019
Lincoln Park Zoo,41.9210919,-87.63399090000001
Kumamoto Sanctuary,32.6408466,130.48248009999998
German Primate Center,51.56097030000001,9.952894499999957
Sweetwaters Chimpanzee Sanctuary,-0.004259,36.96367099999998
Heidelberg Zoo,49.415154,8.663884000000053
Edinburgh Zoo,55.94232599999999,-3.267317999999932
Kristiansand Zoo,58.1856575,8.144123000000036
Monkey Haven,50.705786,-1.2627529999999751
Language Research Center,33.75306799999999,-84.3852819
Ape Cognition & Conservation Initiative,41.545615,-93.532313
